GEOID,geometry
470650109011,POINT (-85.342304 35.035076)
470650031001,POINT (-85.310973 35.055871)
470650030001,POINT (-85.217578 35.011006)
470650029001,POINT (-85.238145 35.018121)
470650024004,POINT (-85.290397 34.994894)
470650030002,POINT (-85.205068 35.008489)
470650121004,POINT (-85.376313 35.015614)
470650011002,POINT (-85.272802 35.03489)
470650019002,POINT (-85.31647 35.011525)
470650024004,POINT (-85.291029 34.99736)
470650019002,POINT (-85.320297 35.020435)
470650114462,POINT (-85.15534 35.031673)
470650004001,POINT (-85.28993 35.048659)
470650004001,POINT (-85.279453 35.045935)
470650024002,POINT (-85.289759 34.990913)
470650029001,POINT (-85.240414 35.020922)
470659801001,POINT (-85.201856 35.032046)
470650026003,POINT (-85.288914 35.02064)
470650019003,POINT (-85.326014 35.009749)
470650034002,POINT (-85.188575 35.013004)
470650031001,POINT (-85.31106 35.053853)
470650032003,POINT (-85.241024 35.047609)
470650114462,POINT (-85.155584 35.035183)
470650113211,POINT (-85.163165 35.015495)
470650023001,POINT (-85.290425 34.990703)
470650019003,POINT (-85.303081 34.990256)
470650020001,POINT (-85.306079 35.029294)
